Bezirk,Stadtteil,Schulname,Sozialindex,Gymnasial- empfehlung,ohne Gymnasial- empfehlung,Insgesamt,Sozialindex,Anzahl Schueler in Jahrgangsstufe,davon Wechsler ans Gymnasium
Altona,Altona-Altstadt,Ganztagsschule an der Elbe,2,5,18,23,2,320,318
Altona,Altona-Altstadt,Grundschule Thadenstraße,4,16,53,69,3,140,140
Altona,Altona-Altstadt,Louise Schroeder Schule,3,29,48,77,4,1398,1393
Altona,Altona-Nord,Grundschule Arnkielstraße,1,9,24,33,5,3085,3078
Altona,Altona-Nord,Theodor-Haubach-Schule,3,18,35,53,6,2188,2184
Altona,Bahrenfeld,Grundschule Groß Flottbek,5,44,33,77,,,
Altona,Bahrenfeld,Max-Brauer-Schule,5,17,48,65,,,
Altona,Bahrenfeld,Schule Mendelssohnstraße,2,27,34,61,,,
Altona,Blankenese,Gorch-Fock-Schule,6,87,30,117,,,
Altona,Groß Flottbek,Schule Windmühlenweg,6,81,33,114,,,
Altona,Iserbrook,Elbkinder Grundschule,6,10,36,46,,,
Altona,Iserbrook,Schule Iserbrook,5,22,23,45,,,
Altona,Iserbrook,Schule Schenefelder Landstraße,4,4,46,50,,,
Altona,Lurup,Fridtjof-Nansen-Schule,3,44,83,127,,,
Altona,Lurup,Grundschule Franzosenkoppel,3,19,46,65,,,
Altona,Lurup,Grundschule Luruper Hauptstraße,3,5,16,21,,,
Altona,Lurup,Schule Langbargheide,1,20,36,56,,,
Altona,Nienstedten,Schule Schulkamp,6,44,16,60,,,
Altona,Osdorf,Grundschule Goosacker,4,17,29,46,,,
Altona,Osdorf,Schule Barlsheide,1,15,60,75,,,
Altona,Osdorf,Schule Kroonhorst,1,7,49,56,,,
Altona,Osdorf,Schule Wesperloh,4,33,52,85,,,
Altona,Othmarschen,Loki-Schmidt-Schule,4,13,18,31,,,
Altona,Othmarschen,Schule Klein Flottbeker Weg,6,65,18,83,,,
Altona,Othmarschen,Schule Trenknerweg,5,69,21,90,,,
Altona,Ottensen,Schule Bahrenfelder Straße,4,27,34,61,,,
Altona,Ottensen,Schule Rothestraße,5,49,42,91,,,
Altona,Rissen,Schule Iserbarg,5,27,22,49,,,
Altona,Rissen,Schule Marschweg,6,45,25,70,,,
Altona,Sternschanze,Ganztagsgrundschule Sternschanze,2,58,50,108,,,
Altona,Sülldorf,Schule Lehmkuhlenweg,6,52,21,73,,,
Altona,Altengamme,Schule Altengamme-Deich,5,14,12,26,,,
Bergedorf,Bergedorf,Schule Ernst-Henning-Straße,4,34,72,106,,,
Bergedorf,Bergedorf,Schule Friedrich-Frank-Bogen,2,9,42,51,,,
Bergedorf,Bergedorf,Schule Nettelnburg,4,26,43,69,,,
Bergedorf,Bergedorf,Schule Sander Straße,3,22,23,45,,,
Bergedorf,Billwerder,Schule Mittlerer Landweg,5,10,16,26,,,
Bergedorf,Curslack,Schule Curslack-Neuengamme,5,16,30,46,,,
Bergedorf,Kirchwerder,Schule Fünfhausen-Warwisch,5,8,15,23,,,
Bergedorf,Kirchwerder,Schule Zollenspieker,5,6,18,24,,,
Bergedorf,Kirchwerder,Stadtteilschule Kirchwerder,4,13,29,42,,,
Bergedorf,Lohbrügge,Grundschule Heidhorst,4,13,38,51,,,
Bergedorf,Lohbrügge,Grundschule Mendelstraße,2,32,58,90,,,
Bergedorf,Lohbrügge,Schule Leuschnerstraße,3,8,16,24,,,
Bergedorf,Lohbrügge,Schule Max-Eichholz-Ring,4,29,59,88,,,
Bergedorf,Neuallermöhe,Adolph-Diesterweg-Schule,2,25,57,82,,,
Bergedorf,Neuallermöhe,Anton-Rée-Schule Allermöhe,3,24,80,104,,,
Bergedorf,Neuallermöhe,Clara-Grunwald-Schule,3,38,60,98,,,
Bergedorf,Ochsenwerder,Schule Ochsenwerder,5,15,29,44,,,
Eimsbüttel,Eidelstedt,Grundschule Lohkampstraße,2,6,35,41,,,
Eimsbüttel,Eidelstedt,Max-Traeger-Schule,2,8,29,37,,,
Eimsbüttel,Eidelstedt,Schule Furtweg,3,24,26,50,,,
Eimsbüttel,Eidelstedt,Schule Heidacker,4,20,25,45,,,
Eimsbüttel,Eidelstedt,Schule Rungwisch,3,14,31,45,,,
Eimsbüttel,Eimsbüttel,Schule An der Isebek,6,66,20,86,,,
Eimsbüttel,Eimsbüttel,Schule Eduardstraße,2,8,22,30,,,
Eimsbüttel,Eimsbüttel,Schule Kielortallee,5,42,21,63,,,
Eimsbüttel,Eimsbüttel,Schule Lutterothstraße,4,26,36,62,,,
Eimsbüttel,Eimsbüttel,Schule Rellinger Straße,5,32,52,84,,,
Eimsbüttel,Eimsbüttel,Schule Tornquiststraße,5,29,34,63,,,
Eimsbüttel,Hoheluft-West,Grundschule Hoheluft,5,45,24,69,,,
Eimsbüttel,Lokstedt,Schule Döhrnstraße,5,47,29,76,,,
Eimsbüttel,Lokstedt,Schule Hinter der Lieth,5,36,29,65,,,
Eimsbüttel,Lokstedt,Schule Vizelinstraße,1,1,30,31,,,
Eimsbüttel,Niendorf,Grundschule Bindfeldweg,5,28,22,50,,,
Eimsbüttel,Niendorf,Grundschule Sachsenweg,5,35,28,63,,,
Eimsbüttel,Niendorf,Schule Burgunderweg,5,41,29,70,,,
Eimsbüttel,Niendorf,Schule Moorflagen,4,13,32,45,,,
Eimsbüttel,Niendorf,Schule Sethweg,5,32,37,69,,,
Eimsbüttel,Rotherbaum,Schule Turmweg,6,54,24,78,,,
Eimsbüttel,Schnelsen,Schule Anna-Susanna-Stieg,4,39,49,88,,,
Eimsbüttel,Schnelsen,Schule Frohmestraße,4,22,62,84,,,
Eimsbüttel,Schnelsen,Schule Rönnkamp,5,10,31,41,,,
Eimsbüttel,Schnelsen,Schule Röthmoorweg,2,8,26,34,,,
Eimsbüttel,Stellingen,Schule Brehmweg,2,4,12,16,,,
Eimsbüttel,Stellingen,Schule Molkenbuhrstraße,3,14,20,34,,,
Eimsbüttel,Stellingen,Schule Wegenkamp,3,16,16,32,,,
Hamburg-Mitte,Billstedt,Grundschule Archenholzstraße,2,7,65,72,,,
Hamburg-Mitte,Billstedt,Grundschule Mümmelmannsberg,1,20,84,104,,,
Hamburg-Mitte,Billstedt,Grundschule Rahewinkel,2,12,79,91,,,
Hamburg-Mitte,Billstedt,Schule am Schleemer Park,1,6,92,98,,,
Hamburg-Mitte,Billstedt,Schule An der Glinder Au,1,5,52,57,,,
Hamburg-Mitte,Billstedt,Schule Bonhoefferstraße,3,21,40,61,,,
Hamburg-Mitte,Billstedt,Schule Fuchsbergredder,3,14,43,57,,,
Hamburg-Mitte,Billstedt,Schule Sterntalerstraße,1,19,42,61,,,
Hamburg-Mitte,Finkenwerder,Aueschule Finkenwerder,3,10,30,40,,,
Hamburg-Mitte,Finkenwerder,Westerschule Finkenwerder,3,14,29,43,,,
Hamburg-Mitte,HafenCity,Katharinenschule in der Hafencity,4,41,28,69,,,
Hamburg-Mitte,Hamm,Grundschule Osterbrook,1,14,30,44,,,
Hamburg-Mitte,Hamm,Schule Hohe Landwehr,2,19,34,53,,,
Hamburg-Mitte,Horn,Brüder-Grimm-Schule,2,17,35,52,,,
Hamburg-Mitte,Horn,Grundschule Horn,2,21,46,67,,,
Hamburg-Mitte,Horn,Schule Beim Pachthof,1,4,42,46,,,
Hamburg-Mitte,Horn,Schule Speckenreye,2,17,38,55,,,
Hamburg-Mitte,Horn,Schule Stengelestraße,1,16,57,73,,,
Hamburg-Mitte,Neustadt,Rudolf-Roß-Grundschule,3,26,38,64,,,
Hamburg-Mitte,Rothenburgsort,Fritz-Köhne-Schule,1,11,42,53,,,
Hamburg-Mitte,St. Georg,Heinrich-Wolgast-Schule,3,10,41,51,,,
Hamburg-Mitte,St. Pauli,Grundschule St.Pauli,2,3,44,47,,,
Hamburg-Mitte,Veddel,Schule auf der Veddel,1,2,69,71,,,
Hamburg-Mitte,Wilhelmsburg,Elbinselschule,1,33,74,107,,,
Hamburg-Mitte,Wilhelmsburg,Ganztagsschule Fährstraße,1,5,45,50,,,
Hamburg-Mitte,Wilhelmsburg,Grundschule Kirchdorf,1,15,41,56,,,
Hamburg-Mitte,Wilhelmsburg,Grundschule Stübenhofer Weg,2,16,43,59,,,
Hamburg-Mitte,Wilhelmsburg,Schule an der Burgweide,1,3,43,46,,,
Hamburg-Mitte,Wilhelmsburg,Schule Rotenhäuser Damm,1,11,61,72,,,
Hamburg-Mitte,Wilhelmsburg,Stadtteilschule Wilhelmsburg,1,9,49,58,,,
Hamburg-Nord,Barmbek-Nord,Schule Genslerstraße,2,6,83,89,,,
Hamburg-Nord,Barmbek-Nord,Schule Lämmersieth,1,0,49,49,,,
Hamburg-Nord,Barmbek-Süd,Adolph-Schönfelder-Schule,3,23,83,106,,,
Hamburg-Nord,Barmbek-Süd,Schule Humboldtstraße,5,14,25,39,,,
Hamburg-Nord,Dulsberg,Stadtteilschule Alter Teichweg,2,1,36,37,,,
Hamburg-Nord,Eppendorf,Grundschule St. Nikolai,6,31,15,46,,,
Hamburg-Nord,Eppendorf,Marie-Beschütz-Schule,5,63,31,94,,,
Hamburg-Nord,Eppendorf,Schule Knauerstraße,6,32,13,45,,,
Hamburg-Nord,Fuhlsbüttel,Schule Ohkamp,5,25,40,65,,,
Hamburg-Nord,Fuhlsbüttel,Schule Ratsmühlendamm,4,16,44,60,,,
Hamburg-Nord,Groß Borstel,Carl-Götze-Schule,5,31,19,50,,,
Hamburg-Nord,Hoheluft-Ost,Stadtteilschule Eppendorf,4,30,25,55,,,
Hamburg-Nord,Langenhorn,Grundschule Am Heidberg,5,27,56,83,,,
Hamburg-Nord,Langenhorn,Schule Eberhofweg,3,12,29,41,,,
Hamburg-Nord,Langenhorn,Schule Krohnstieg,4,8,26,34,,,
Hamburg-Nord,Langenhorn,Schule Neubergerweg,3,24,52,76,,,
Hamburg-Nord,Langenhorn,Schule Stockflethweg,4,21,19,40,,,
Hamburg-Nord,Ohlsdorf,Albert-Schweitzer-Schule,6,20,54,74,,,
Hamburg-Nord,Uhlenhorst,Schule auf der Uhlenhorst,5,22,39,61,,,
Hamburg-Nord,Winterhude,Goldbek-Schule,4,25,39,64,,,
Hamburg-Nord,Winterhude,Schule Alsterdorfer Straße,5,23,18,41,,,
Hamburg-Nord,Winterhude,Schule Carl-Cohn-Straße,4,23,35,58,,,
Hamburg-Nord,Winterhude,Schule Forsmannstraße,5,43,25,68,,,
Hamburg-Nord,Winterhude,Stadtteilschule Winterhude,5,20,37,57,,,
Harburg,Cranz,Schule Cranz,3,1,14,15,,,
Harburg,Eißendorf,Schule Dempwolffstraße,2,10,28,38,,,
Harburg,Eißendorf,Schule In der Alten Forst,5,57,35,92,,,
Harburg,Harburg,Schule Kerschensteinerstraße,1,12,39,51,,,
Harburg,Harburg,Schule Maretstraße,1,1,59,60,,,
Harburg,Hausbruch,Grundschule An der Haake,3,19,75,94,,,
Harburg,Heimfeld,Grundschule am Kiefernberg,3,34,48,82,,,
Harburg,Heimfeld,Schule Grumbrechtstraße,2,21,71,92,,,
Harburg,Marmstorf,Schule Marmstorf,5,21,61,82,,,
Harburg,Neuenfelde,Schule Arp-Schnitger-Stieg,3,16,26,42,,,
Harburg,Neugraben-Fischbek,Ganztagsgrundschule Am Johannisland,2,21,63,84,,,
Harburg,Neugraben-Fischbek,Grundschule Neugraben - Offene Ganztagsgrundschule (GBS),2,6,30,36,,,
Harburg,Neugraben-Fischbek,Schule Ohrnsweg,2,8,42,50,,,
Harburg,Neugraben-Fischbek,Schule Schnuckendrift,5,13,30,43,,,
Harburg,Neugraben-Fischbek,Stadtteilschule Fischbek/Falkenberg,4,14,49,63,,,
Harburg,Neuland,Schule Neuland,5,9,17,26,,,
Harburg,Rönneburg,Schule Rönneburg,4,4,64,68,,,
Harburg,Sinstorf,Schule Scheeßeler Kehre,4,13,57,70,,,
Harburg,Wilstorf,Schule Kapellenweg,2,6,49,55,,,
Harburg,Bergstedt,Schule Bergstedt,6,49,43,92,,,
Harburg,Bramfeld,Grundschule Bramfeld,3,29,64,93,,,
Harburg,Bramfeld,Grundschule Karlshöhe mit Zweigstellen,5,13,56,69,,,
Harburg,Bramfeld,Schule An der Seebek,3,32,46,78,,,
Harburg,Bramfeld,Schule Eenstock,3,23,33,56,,,
Harburg,Bramfeld,Schule Fahrenkrön,5,12,55,67,,,
Harburg,Duvenstedt,Schule Duvenstedter Markt,5,47,35,82,,,
Harburg,Eilbek,Schule Hasselbrook,2,9,37,46,,,
Harburg,Eilbek,Schule Richardstraße,5,16,21,37,,,
Harburg,Eilbek,Schule Wielandstraße,4,25,49,74,,,
Harburg,Farmsen-Berne,Erich Kästner Schule,3,9,46,55,,,
Harburg,Farmsen-Berne,Grundschule Eckerkoppel,4,19,39,58,,,
Harburg,Farmsen-Berne,Schule Surenland,3,11,34,45,,,
Harburg,Farmsen-Berne,Schule Traberweg,4,14,32,46,,,
Harburg,Hummelsbüttel,Schule Grützmühlenweg,4,30,38,68,,,
Harburg,Jenfeld,Schule Charlottenburger Straße,1,10,40,50,,,
Harburg,Jenfeld,Schule Jenfelder Straße,2,17,39,56,,,
Harburg,Jenfeld,Schule Öjendorfer Damm,1,8,33,41,,,
Harburg,Jenfeld,Schule Oppelner Straße,1,9,42,51,,,
Harburg,Lemsahl-Mellingstedt,Schule Lemsahl-Mellingstedt,6,23,38,61,,,
Harburg,Marienthal,Grundschule Schimmelmannstraße,4,34,44,78,,,
Wandsbek,Poppenbüttel,Grundschule Poppenbüttel,5,24,43,67,,,
Wandsbek,Poppenbüttel,Schule Hinsbleek,5,18,25,43,,,
Wandsbek,Poppenbüttel,Schule Müssenredder,5,14,74,88,,,
Wandsbek,Rahlstedt,Grundschule Großlohering,2,6,30,36,,,
Wandsbek,Rahlstedt,Grundschule Islandstraße,4,28,34,62,,,
Wandsbek,Rahlstedt,Grundschule Neurahlstedt,4,35,42,77,,,
Wandsbek,Rahlstedt,Grundschule Nydamer Weg,4,36,31,67,,,
Wandsbek,Rahlstedt,Schule Am Sooren,4,18,36,54,,,
Wandsbek,Rahlstedt,Schule Bekassinenau,5,21,36,57,,,
Wandsbek,Rahlstedt,Schule Brockdorffstraße,5,36,51,87,,,
Wandsbek,Rahlstedt,Schule Kamminer Straße,3,8,32,40,,,
Wandsbek,Rahlstedt,Schule Potsdamer Straße,1,5,39,44,,,
Wandsbek,Rahlstedt,Schule Rahlstedter Höhe,3,34,60,94,,,
Wandsbek,Rahlstedt,Schule Wildschwanbrook,3,17,36,53,,,
Wandsbek,Sasel,Grundschule Hasenweg,5,7,60,67,,,
Wandsbek,Sasel,Schule Alsterredder,6,53,41,94,,,
Wandsbek,Sasel,Schule Redder,6,27,67,94,,,
Wandsbek,Steilshoop,Grundschule Edwin-Scharff-Ring,2,5,46,51,,,
Wandsbek,Steilshoop,Schule Appelhoff,3,3,48,51,,,
Wandsbek,Steilshoop,Stadtteilschule am See,2,18,51,69,,,
Wandsbek,Tonndorf,Grundschule Tonndorf,4,15,33,48,,,
Wandsbek,Volksdorf,Schule Ahrensburger Weg,6,43,28,71,,,
Wandsbek,Volksdorf,Schule An den Teichwiesen,6,39,35,74,,,
Wandsbek,Volksdorf,Schule Buckhorn,6,41,28,69,,,
Wandsbek,Volksdorf,Schule Eulenkrugstraße,6,55,30,85,,,
Wandsbek,Wandsbek,Schule am Eichtalpark,3,9,29,38,,,
Wandsbek,Wandsbek,Schule An der Gartenstadt,4,42,54,96,,,
Wandsbek,Wandsbek,Schule Bandwirkerstraße,3,12,33,45,,,
Wandsbek,Wandsbek,Schule Bovestraße,5,37,29,66,,,
Wandsbek,Wellingsbüttel,Schule Strenge,6,26,52,78,,,
Wandsbek,Wohldorf-Ohlstedt,Schule Am Walde,6,31,24,55,,,
